"ll","alpha","lambda1","lambda2","lambda3"
-4665.08348173776,2.09776441214272,0.0223422966566997,0.0524480788320261,0.00500835502064759
-4665.67567818212,2.16674400243536,0.018261364489017,0.0444137984615127,0.00588243291236364
-4665.67567818212,2.16674400243536,0.018261364489017,0.0444137984615127,0.00588243291236364
-4665.67567818212,2.16674400243536,0.018261364489017,0.0444137984615127,0.00588243291236364
-4665.79816758336,2.15547686721532,0.0167683396681599,0.0511772970929189,0.00261839803402729
-4665.79816758336,2.15547686721532,0.0167683396681599,0.0511772970929189,0.00261839803402729
-4665.79816758336,2.15547686721532,0.0167683396681599,0.0511772970929189,0.00261839803402729
-4665.08685522542,2.10648399999234,0.0208671818605361,0.057579458648121,0.00389919421659915
-4665.08685522542,2.10648399999234,0.0208671818605361,0.057579458648121,0.00389919421659915
-4665.08685522542,2.10648399999234,0.0208671818605361,0.057579458648121,0.00389919421659915
-4666.92618535941,2.00634060872352,0.0325495384430772,0.0791569949826215,0.00492399584555346
-4666.92618535941,2.00634060872352,0.0325495384430772,0.0791569949826215,0.00492399584555346
-4666.92618535941,2.00634060872352,0.0325495384430772,0.0791569949826215,0.00492399584555346
-4666.51537982739,2.03912116117956,0.0303681066278076,0.0698986696729544,0.00622644953248354
-4666.51537982739,2.03912116117956,0.0303681066278076,0.0698986696729544,0.00622644953248354
-4666.51537982739,2.03912116117956,0.0303681066278076,0.0698986696729544,0.00622644953248354
-4666.51537982739,2.03912116117956,0.0303681066278076,0.0698986696729544,0.00622644953248354
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4665.47373615521,2.07113750008299,0.0244443777095731,0.0553689137934612,0.00700959332168482
-4664.90846036389,2.09434740656352,0.0207113682074813,0.0549285183063713,0.00471653801908987
-4664.90846036389,2.09434740656352,0.0207113682074813,0.0549285183063713,0.00471653801908987
-4664.90846036389,2.09434740656352,0.0207113682074813,0.0549285183063713,0.00471653801908987
-4666.1855077615,2.0139118087231,0.0278942517457843,0.0704269777299033,0.0051414334286485
-4666.1855077615,2.0139118087231,0.0278942517457843,0.0704269777299033,0.0051414334286485
-4666.1855077615,2.0139118087231,0.0278942517457843,0.0704269777299033,0.0051414334286485
-4666.1855077615,2.0139118087231,0.0278942517457843,0.0704269777299033,0.0051414334286485
-4665.53545213697,2.07583866517018,0.0227437762056062,0.0607069366229335,0.00342861519361668
-4665.53545213697,2.07583866517018,0.0227437762056062,0.0607069366229335,0.00342861519361668
-4666.04558753169,2.12566319467173,0.0168862125116127,0.0565077647447082,0.00292698744616128
-4666.04558753169,2.12566319467173,0.0168862125116127,0.0565077647447082,0.00292698744616128
-4665.75032443224,2.17055352178862,0.0148745575901608,0.0382078537896356,0.00483423477538692
-4665.75032443224,2.17055352178862,0.0148745575901608,0.0382078537896356,0.00483423477538692
-4665.75032443224,2.17055352178862,0.0148745575901608,0.0382078537896356,0.00483423477538692
-4665.36924389376,2.11961542611503,0.0199306233033855,0.0493325882733477,0.00373546855159953
-4665.36924389376,2.11961542611503,0.0199306233033855,0.0493325882733477,0.00373546855159953
-4665.36924389376,2.11961542611503,0.0199306233033855,0.0493325882733477,0.00373546855159953
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4666.69514034364,2.14384600237349,0.021503648931341,0.0515898819028141,0.00537144810791625
-4668.78312283695,2.22939344165578,0.0117220522939889,0.0385823125109947,0.00567720409487378
-4668.78312283695,2.22939344165578,0.0117220522939889,0.0385823125109947,0.00567720409487378
-4668.78312283695,2.22939344165578,0.0117220522939889,0.0385823125109947,0.00567720409487378
-4667.82876289819,2.12208682809362,0.0201758220358617,0.0592689971489909,0.00708219370962457
-4667.82876289819,2.12208682809362,0.0201758220358617,0.0592689971489909,0.00708219370962457
-4667.82876289819,2.12208682809362,0.0201758220358617,0.0592689971489909,0.00708219370962457
-4667.82876289819,2.12208682809362,0.0201758220358617,0.0592689971489909,0.00708219370962457
-4667.70737899635,2.19474072694832,0.0132870036660682,0.0460830655222494,0.00495966105553393
-4667.94635308973,2.17652722875519,0.01593277055048,0.0503765524911266,0.00610611288688297
-4667.94635308973,2.17652722875519,0.01593277055048,0.0503765524911266,0.00610611288688297
-4668.02836006219,2.15783250056488,0.0161047106520169,0.0556336182643763,0.00518059162959241
-4668.02836006219,2.15783250056488,0.0161047106520169,0.0556336182643763,0.00518059162959241
-4668.02836006219,2.15783250056488,0.0161047106520169,0.0556336182643763,0.00518059162959241
-4668.02836006219,2.15783250056488,0.0161047106520169,0.0556336182643763,0.00518059162959241
-4668.02836006219,2.15783250056488,0.0161047106520169,0.0556336182643763,0.00518059162959241
-4666.56269490448,2.09012407559129,0.0254622170232723,0.0562986375307427,0.00796452594225493
-4666.61853836605,2.13036951320823,0.020541490676429,0.0526140783231324,0.00733052188384275
-4666.61853836605,2.13036951320823,0.020541490676429,0.0526140783231324,0.00733052188384275
-4666.61853836605,2.13036951320823,0.020541490676429,0.0526140783231324,0.00733052188384275
